"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"CAMPECHE","DIRECCIÓN GENERAL DEL REGISTRO CIVIL DE CAMPECHE","Calle 10 n° 54 Local 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","19.844627874000423","-90.53717011299966","","01 981 8165 593"
"CAMPECHE","REGISTRO CIVIL DE CAMPECHE","Calle 63 entre 10 y 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","19.844627874000423","-90.53717011299966","","01 981 811 9200; ext. 1600"
"CAMPECHE","REGISTRO CIVIL DE CANDELARIA","Calle 18 s/n, Col. Centro, C.P. 24300, Candelaria, Camp.","18.971085015000426","-91.17953295599966","","01 602 01"
"CAMPECHE","REGISTRO CIVIL DE CHAMPOTÓN","Calle 30 N° 12- 4 Col. Centro, C.P. 24400, Champotón, Camp.","19.341301000000442","-90.72515003199965","","01 982 828 0005"
"CAMPECHE","REGISTRO CIVIL DE CHAMPOTÓN","Calle 16 N° 49 Col. Centro, C.P. 24400, Champotón, Camp.","19.341301000000442","-90.72515003199965","","01 982 823 1350"
"CAMPECHE","REGISTRO CIVIL DE CIUDAD DEL CARMEN","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","18.63585265800043","-91.82672514899969","","01 981 81 1 92 00, ext. 1930 y 1931"
"CAMPECHE","REGISTRO CIVIL DE ESCARCEGA","Calle Justo Sierra s/n, Col. Revolución, C.P. 24350, Escarcega, Camp.","18.60572535400047","-90.74088426899965","",""
"CAMPECHE","REGISTRO CIVIL DE ESCARCEGA","Calle 17 por 20 s/n, Col. Centro, C.P. 24350, Escarcega, Camp.","18.60572535400047","-90.74088426899965","","01 982 813 1043"
"CAMPECHE","REGISTRO CIVIL DE HECELCHAKAN","Calle 14 por 17 s/n Col. Centro, C.P. 24810, Hecelchakan, Camp.","20.139225073000432","-90.17001754099965","","01 996 104 4887"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle 18 N° 91 Col. Centro, C.P. 24611, Hopelchen, Camp.","19.84437032000045","-90.53570002999965","","01 996 434 4001"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle 33 s/n Col. Centro, C.P. 24600, Hopelchen, Camp.","19.748350137000443","-89.84352330199965","","01 996 822 0183"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle Carranza s/n Col. Centro, C.P. 24620, Hopelchen, Camp.","20.002470231000473","-89.74571024999966","","01 996 431 5098"
"CAMPECHE","REGISTRO CIVIL DE PALIZADA","Calle Hidalgo N° 3 Col. Centro, C.P. 24203, Palizada, Camp.","36.413630540618044","-91.73457622671071","","01 913 365 0111"
"CAMPECHE","REGISTRO CIVIL DE TENABO","Calle 8 s/n Col. Centro, C.P. 24700, Tenabo, Camp.","20.04100511000047","-90.22298993899966","","01 981 112 7305"
"CAMPECHE","MUNICIPIO DE ESCARCEGA","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","18.63585265800043","-91.82672514899969","","01 982 824 0970 ext.40659"
"CAMPECHE","SEDESOL, MODALIDAD IDENTIDAD JURÍDICA EN EL ESTADO","Av. 16 Septiembre s/n Palacio Federal 2º. Piso, Col. Centro, C.P. 24000, Campeche, Camp.","19.844627874000423","-90.53717011299966","","01 981 656 11 ext. 117"
"CAMPECHE","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL CAMPECHE","31 n° 144, Col. Tacubaya, Cd. Del Carmen, Campeche.","18.651000136000448","-91.8067103789997","","01 938 382 13 30 y 384 10 81"
"CAMPECHE","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL CAMPECHE","Av. 16 de septiembre s/n, Palacio Federal, P.B., Campeche, Campeche.","-26.9779799949996","-48.85705044699961","","01 981 816 28 68"
