"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"PUEBLA","JUZGADO 4 DEL REGISTRO CIVIL PUEBLA","Oriente No. 1007, Centro Histórico, Ciudad de Puebla, Puebla","ORIENTE NO 1007, CENTRO HISTÓRICO, CIUDAD DE PUEBLA, PUEBLA","42.83804595200047","-2.692798254999559","222 235.2745"
"PUEBLA","JUZGADO 3 DEL REGISTRO CIVIL DEL ESTADO DE PUEBLA","Avenida Reforma No. 710, Centro Histórico, Ciudad de Puebla, Puebla.","AVENIDA REFORMA NO 710, CENTRO HISTÓRICO, CIUDAD DE PUEBLA, PUEBLA","19.046590145000437","-98.20078031899965","222 237.5727"
"PUEBLA","JUZGADO 2 DEL REGISTRO CIVIL DE PUEBLA","Oriente No. 2003, Centro Histórico, Ciudad de Puebla, Puebla.","ORIENTE NO 2003, CENTRO HISTÓRICO, CIUDAD DE PUEBLA, PUEBLA","59.96364502000051","11.043223060000457","(222) 235.1165"
"PUEBLA","REGISTRO CIVIL DE ZAPOTITLÁN SALINAS","Allende No. 6, Centro, Zapotitlán, Tehuacán","ALLENDE NO 6, CENTRO, ZAPOTITLÁN, TEHUACÁN","18.454620211000474","-97.41061003999965","(237) 383.6882"
"PUEBLA","REGISTRO CIVIL DE MAGDALENA CUAYUCATEPEC","Avenida Independencia No. 36","AVENIDA INDEPENDENCIA NO 36","60.29438027200047","6.600600279000446","(238) 371 0076"
"PUEBLA","REGISTRO CIVIL DE ALTEPEXI","5 de Febrero S/N, Centro, Altepexi, Tehuacan, Puebla","5 DE FEBRERO S/N, CENTRO, ALTEPEXI, TEHUACAN, PUEBLA","17.976766919000454","-92.94717195699968","(236) 381.1162"
"PUEBLA","REGISTRO CIVIL DE CAÑADA DE MORELOS","Parque Hidalgo S/N, Centro, Cañada de Morelos, Tehuacan, Puebla","PARQUE HIDALGO S/N, CENTRO, CAÑADA DE MORELOS, TEHUACAN, PUEBLA","0","0","(249) 487.6016"
"PUEBLA","REGISTRO CIVIL DE MAZATIANQUIXCO","Avenida Principal S/N, Mazatianquixco, Tehuacan, Puebla","AVENIDA PRINCIPAL S/N, MAZATIANQUIXCO, TEHUACAN, PUEBLA","18.394350563000444","-66.05301107399964","(236) 488.7600"
"PUEBLA","REGISTRO CIVIL DE HUEJOTZINGO","Plaza Principal S/N, Huejotzingo, San Martín Texmelucan, Puebla","PLAZA PRINCIPAL S/N, HUEJOTZINGO, SAN MARTÍN TEXMELUCAN, PUEBLA","0","0","(227) 276 2112"
"PUEBLA","REGISTRO CIVIL DE DOMINGO ARENAS","Camino Real de Atexcac No. 2, Domingo Arenas, San Martín Texmelucan, Puebla","CAMINO REAL DE ATEXCAC NO 2, DOMINGO ARENAS, SAN MARTÍN TEXMELUCAN, PUEBLA","19.285160321000433","-98.43336005599969","(227) 276 0399"
"PUEBLA","REGISTRO CIVIL DE CHIAUTZINGO","Constitución No. 5, Centro, Chiautzingo, Puebla","CONSTITUCIÓN NO 5, CENTRO, CHIAUTZINGO, PUEBLA","19.206170037000447","-98.47892028399968","(248) 482 6150"
"PUEBLA","REGISTRO CIVIL DE TRINIDAD TEPANGO","Reforma No. 1, Trinidad Tepango, Puebla","REFORMA NO 1, TRINIDAD TEPANGO, PUEBLA","17.858277607000446","-93.15005627299968","(244) 445.7744"
"PUEBLA","REGISTRO CIVIL DE AXOCOPAN","Av.Reforma No. 1, Axocopan, Puebla","AVENIDAREFORMA NO 1, AXOCOPAN, PUEBLA","19.046590145000437","-98.20078031899965","(244) 103.4070"
"PUEBLA","REGISTRO CIVIL DE ATLIXCO","Blvd. Niños Héroes No. 805 Plaza Atlixco Local 43, Atlixco, Puebla","BLVD NIÑOS HÉROES NO 805 PLAZA ATLIXCO LOCAL 43, ATLIXCO, PUEBLA","18.909750289000442","-98.43696024499968","(244) 443 8237"
"PUEBLA","REGISTRO CIVIL 5 DE SAN PEDRO CHOLULA","Revolución No. 4, San Matías Cocoyotla, San Pedro Cholula, Puebla","REVOLUCIÓN NO 4, SAN MATÍAS COCOYOTLA, SAN PEDRO CHOLULA, PUEBLA","19.077660343000446","-98.3028700109997","(222) 247 0687"
"PUEBLA","REGISTRO CIVIL 6 DE SAN PEDRO CHOLULA","Iglesias No. 1, San Diego Cuachayotla, San Pedro Cholula, Puebla","IGLESIAS NO 1, SAN DIEGO CUACHAYOTLA, SAN PEDRO CHOLULA, PUEBLA","19.077660343000446","-98.3028700109997","(222) 247 6554"
"PUEBLA","REGISTRO CIVIL 14 DE SAN PEDRO CHOLULA","Cruz de Piedra S/N, San Sebastián Tepalcatepec, San Pedro Cholula, Puebla","CRUZ DE PIEDRA S/N, SAN SEBASTIÁN TEPALCATEPEC, SAN PEDRO CHOLULA, PUEBLA","0","0","(222) 221 5169"
"PUEBLA","REGISTRO CIVIL DE ATEMPAN","Palacio Municipal S/N, Centro, Atempan, Puebla","PALACIO MUNICIPAL S/N, CENTRO, ATEMPAN, PUEBLA","0","0","(231) 311.0278"
"PUEBLA","REGISTRO CIVIL DE CHIGNAUTLA","Palacio Municipal S/N, Centro, Chignautla, Puebla","PALACIO MUNICIPAL S/N, CENTRO, CHIGNAUTLA, PUEBLA","0","0","(231) 313.1659"
