"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"aguascalientes","Dirección General del Registro Civil","Héroes de Nacozari esq. Av. López Mateos, Col. San Luis, C.P. 20250, Aguascalientes, Ags.","","","01 449 9 10 26 46 ext. 6322"
"aguascalientes","Registro Civil Oficialía de Asientos","Plaza Juárez no.3, Col. Juárez C.P. 20250, Asientos, Ags.","","","01 800 900 2002 ext. 2810"
"aguascalientes","Registro Civil Oficialía de Calvillo","Palacio de Justicia Guanajuato s/n, Col. Centro, C.P. 20250, Calvillo, Ags.","","","01 449 956 26 11 ext. 2814"
"aguascalientes","Registro Civil Oficialía de Ciénega Grande","Francisco I Madero s/n, Col. Centro, C.P. 20722, Asientos, Ags.","","","01 800 900 2002 ext. 2817"
"aguascalientes","Registro Civil Oficialía de Cosio","Estación de Desarrollo, Prolongación Esteban´s Castoreña s/n, Col. Centro, C.P. 20460, Cosio, Ags.","","","Tel.:01 800 900 2002 ext. 2828"
"aguascalientes","Registro Civil Oficialía Ignacio Zaragoza","Delegación Municipal Plaza Gámez Orozco no. 102, Col. Centro, C.P. 20980, Jesús María, Ags.","","","01 449 9 56 71 10"
"aguascalientes","Registro Civil Oficialía de Insurgentes","Av. de la Convención Norte 1207, Col. Centro, C.P. 20287, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2806"
"aguascalientes","Registro Civil Oficialía de Jesús Gómez Portugal","Delegación Municipal Venustiano Carranza no. 20, Col. Centro, C.P. 20909, Jesús María, Ags.","","","01 449 973 05 80 ext. 2815"
"aguascalientes","Registro Civil Oficialía de Jesús María","Emiliano Zapata no. 109, Col. Centro, C.P. 20900, Jesús María, Ags.","","","01 800 900 2002 ext. 2819"
"aguascalientes","Registro Civil Oficialía Jesús Terán Peredo","Pascual Cornejo no. 801, Col. Progreso, C.P. 20179,, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2803"
"aguascalientes","Registro Civil Oficialía Malpaso","Calle 16 de septiembre no. 666, Col. Centro, C.P. 20809, Calvillo, Ags.","","","01 800 900 2002 ext. 2807"
"aguascalientes","Registro Civil Oficialía La Labor","Plaza Principal s/n, Col. La Labor, C.P. 20830, Calvillo, Ags.","","","01 800 900 2002 ext. 2833"
"aguascalientes","Registro Civil Oficialía Ojocaliente","Delicias s/n, Col. Centro, C.P. 20860, Calvillo, Ags.","","","01 800 900 2002 ext. 2809"
"aguascalientes","Registro Civil Oficialía de Palo Alto","Calle 20 de noviembre no. 103, Col. Centro Palo Alto, C.P. 20330, El Llano, Ags.","","","01 496 967 32 01"
"aguascalientes","Registro Civil Oficialía Pabellón de Arteaga","Venustiano Carranza s/n esq. Lerdo de Tejada, Col. Centro, C.P. 20660, Pabellón de Arteaga, Ags.","","","01 800 900 2002 ext. 2822"
"aguascalientes","Registro Civil Oficialía Pabellón de Hidalgo","Josefa O. de Domínguez no. 202, Col. Centro, Rincón de Romos, Ags.","","","01 449 967 51 43"
"aguascalientes","Registro Civil Oficialía Salto de los Salados","Delegación Municipal Emiliano Zapata no. 213, Col. Salto de los Salados, C.P. 20340, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2801"
"aguascalientes","Registro Civil Oficialía San José de Gracia",": P. Municipal , Calle Juan Domínguez No. 101, Col. San José de Gracia, C.P. 20576, San José de Gracia, Ags.","","","01 800 900 2002 ext. 2826"
"aguascalientes","Registro Civil Oficialía Sandovales","Delegación Municipal Sandovales s/n, Col. Centro, C.P. 20381, El Llano, Ags.","","","01 800 900 2002 ext. 2031"
"aguascalientes","Registro Civil Clínica IMSS 1","Av. de la Convención y José Ma Chávez s/n esq. con Jardín del Estudiante, Col. Fracc. Boulevares, C.P. 20270, Ags.","","","01 800 900 2002 ext. 2825"
"aguascalientes","Registro Civil Clínica IMSS 2","Av. De los Conos s/n, Col. Ojo Caliente, C.P. 20010, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2824"
"aguascalientes","Registro Civil Clínica ISSSTE","Av. Universidad y San Cosme s/n, Col. Fraccionamiento San Cayetano, C.P. 20010, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2821"
"aguascalientes","Registro Civil Oficialía Satélite Morelos","Delegación Municipal Siglo XXI no. 704, Fracc, Morelos, Aguascalientes, Ags.","","","01 800 900 2002 ext. 8688 / 01 449 977 75 68"
"aguascalientes","Registro Civil Oficialía Valle de los Cactus","Recinto Joconostle local Comercial no. 3, Fracc. Valle de los Cactus, Aguascalientes, Ags.","","","01 449 9 10 26 46 ext. 2835"
"aguascalientes","Registro Civil Oficialía Villa de Juárez","Delegación Municipal Jesús Marmolejo no. 211 Col. Villa Juárez C.P. 20700, Asientos, Ags.","","","01 800 900 2002 ext. 2813"
"aguascalientes","Registro Civil Oficialía 010 (ISSSTE)","Av. Universidad y San Cosme s/n, Col. Fraccionamiento San Cayetano C.P. 20010, Aguascalientes, Ags.","","","01 800 900 2002 ext. 2821"
"aguascalientes","Instituto de Educación de Aguascalientes","Carr. a San Luis Potosí n° 601, Fracc. Ojocaliente, C.P. 20190, Aguascalientes, Ags.","","","01 449 910 56 31- 910 56 83"
"aguascalientes","Instituto Nacional de Migración Delegación Regional Aguascalientes","Juan de Montoso n° 223, Col. Centro, Aguascalientes, Ags.","","","01 449 910 56 31"
